f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
0.06683581406444444,0.004373742466685288,0.2157083076923077,-0.07363665169040123,-0.16543950531581914,4.00527245848494,93.75,2.8663540781810726,5.1197261752466766e-05,4.140507581480898e-05,1.9051366289446608e-07,0
0.06798860136337563,0.004516289029111891,0.22342707692307692,-0.1044764264022926,-0.23882457457064077,4.050434703474647,93.75,2.8634398441614546,5.422060079920798e-05,4.5344439992204216e-05,2.3149908874702822e-07,0
0.06617917908327851,0.004266732036281856,0.21696000000000001,-0.15602568531062255,-0.14320322446904996,4.064134852358424,93.75,2.8814535349357815,5.086084621263534e-05,4.0993734422842195e-05,2.0406142918408145e-07,0
0.06418196548555188,0.003949028240139468,0.21028430769230766,-0.13751484769934663,-0.15154824268813094,4.065660026803393,93.75,2.930582937693344,4.798009483303142e-05,3.6899099439303146e-05,2.2370462069070526e-07,0
0.06569965704899801,0.004121340995210221,0.21883753846153844,-0.14937417436441836,-0.17125677345816967,4.100291052922796,93.75,2.90185757016422,4.916420572612651e-05,3.914718766328463e-05,1.8850555373264769e-07,0
0.06767006177459481,0.004294054526444159,0.22405292307692307,-0.09371992535860452,-0.20615187091032378,4.089579298273914,93.75,2.8126632030429075,4.617883738956612e-05,4.4687744146053284e-05,1.9795904564446918e-07,0
0.06795161306285885,0.004389606551506026,0.2238443076923077,-0.02504828239846857,-0.17757412831475702,4.099888986026675,93.75,2.8944873568228098,5.323373706748839e-05,3.9019597741990996e-05,1.9932433662478222e-07,0
0.06527173622571832,0.004013661967468515,0.21654276923076923,-0.04447310326910037,-0.22545039001894407,4.099949079081049,93.75,2.88639193734502,4.5894347902275725e-05,3.8845494309693504e-05,2.0518308553011767e-07,0
0.06842705623187977,0.004579104364483931,0.22300984615384614,-0.15625741246617375,-0.12245359472291058,4.064449392811584,93.75,2.8682261920015324,5.697393864388519e-05,4.187216226157635e-05,2.0380616333064045e-07,0
0.06545562791199933,0.004178343400574637,0.21320492307692307,-0.12129328807092232,-0.1142167793172235,4.056207114545022,93.75,2.9305997797446417,5.4328196465806344e-05,3.670412777248331e-05,1.9848870179641066e-07,0
